Cód_IBGE;Município;Sigla UF;Região;Mês/Ano;Vítimas
3521804;Itaí;SP;SUDESTE;jan/18;0
3521903;Itajobi;SP;SUDESTE;jan/18;0
3522000;Itaju;SP;SUDESTE;jan/18;0
3522109;Itanhaém;SP;SUDESTE;jan/18;1
3522158;Itaoca;SP;SUDESTE;jan/18;0
3522208;Itapecerica Da Serra;SP;SUDESTE;jan/18;1
3522307;Itapetininga;SP;SUDESTE;jan/18;1
3522406;Itapeva;SP;SUDESTE;jan/18;0
3522505;Itapevi;SP;SUDESTE;jan/18;3
3522604;Itapira;SP;SUDESTE;jan/18;1
3522653;Itapirapuã Paulista;SP;SUDESTE;jan/18;0
3522703;Itápolis;SP;SUDESTE;jan/18;2
3522802;Itaporanga;SP;SUDESTE;jan/18;0
3522901;Itapuí;SP;SUDESTE;jan/18;0
3523008;Itapura;SP;SUDESTE;jan/18;0
3523107;Itaquaquecetuba;SP;SUDESTE;jan/18;2
3523206;Itararé;SP;SUDESTE;jan/18;0
3523305;Itariri;SP;SUDESTE;jan/18;0
3523404;Itatiba;SP;SUDESTE;jan/18;0
3523503;Itatinga;SP;SUDESTE;jan/18;0
3523602;Itirapina;SP;SUDESTE;jan/18;0
3523701;Itirapuã;SP;SUDESTE;jan/18;0
3523800;Itobi;SP;SUDESTE;jan/18;0
3523909;Itu;SP;SUDESTE;jan/18;1
3524006;Itupeva;SP;SUDESTE;jan/18;0
3524105;Ituverava;SP;SUDESTE;jan/18;0
3524204;Jaborandi;SP;SUDESTE;jan/18;0
3524303;Jaboticabal;SP;SUDESTE;jan/18;0
3524402;Jacareí;SP;SUDESTE;jan/18;1
3524501;Jaci;SP;SUDESTE;jan/18;0
3524600;Jacupiranga;SP;SUDESTE;jan/18;0
3524709;Jaguariúna;SP;SUDESTE;jan/18;0
3524808;Jales;SP;SUDESTE;jan/18;0
3524907;Jambeiro;SP;SUDESTE;jan/18;0
3525003;Jandira;SP;SUDESTE;jan/18;2
3525102;Jardinópolis;SP;SUDESTE;jan/18;0
3525201;Jarinu;SP;SUDESTE;jan/18;0
3525300;Jaú;SP;SUDESTE;jan/18;0
3525409;Jeriquara;SP;SUDESTE;jan/18;0
3525508;Joanópolis;SP;SUDESTE;jan/18;1
3525607;João Ramalho;SP;SUDESTE;jan/18;0
3525706;José Bonifácio;SP;SUDESTE;jan/18;0
3525805;Júlio Mesquita;SP;SUDESTE;jan/18;0
3525854;Jumirim;SP;SUDESTE;jan/18;0
3525904;Jundiaí;SP;SUDESTE;jan/18;1
3526001;Junqueirópolis;SP;SUDESTE;jan/18;0
3526100;Juquiá;SP;SUDESTE;jan/18;0
3526209;Juquitiba;SP;SUDESTE;jan/18;0
3526308;Lagoinha;SP;SUDESTE;jan/18;0
3526407;Laranjal Paulista;SP;SUDESTE;jan/18;0
3526506;Lavínia;SP;SUDESTE;jan/18;0
3526605;Lavrinhas;SP;SUDESTE;jan/18;0
3526704;Leme;SP;SUDESTE;jan/18;2
3526803;Lençóis Paulista;SP;SUDESTE;jan/18;0
3526902;Limeira;SP;SUDESTE;jan/18;0
3527009;Lindóia;SP;SUDESTE;jan/18;0
3527108;Lins;SP;SUDESTE;jan/18;1
3527207;Lorena;SP;SUDESTE;jan/18;2
3527256;Lourdes;SP;SUDESTE;jan/18;1
3527306;Louveira;SP;SUDESTE;jan/18;0
3527405;Lucélia;SP;SUDESTE;jan/18;0
3527504;Lucianópolis;SP;SUDESTE;jan/18;0
3527603;Luís Antônio;SP;SUDESTE;jan/18;0
3527702;Luiziânia;SP;SUDESTE;jan/18;0
3527801;Lupércio;SP;SUDESTE;jan/18;1
3527900;Lutécia;SP;SUDESTE;jan/18;0
3528007;Macatuba;SP;SUDESTE;jan/18;0
3528106;Macaubal;SP;SUDESTE;jan/18;0
3528205;Macedônia;SP;SUDESTE;jan/18;0
3528304;Magda;SP;SUDESTE;jan/18;0
3528403;Mairinque;SP;SUDESTE;jan/18;0
3528502;Mairiporã;SP;SUDESTE;jan/18;1
3528601;Manduri;SP;SUDESTE;jan/18;0
3528700;Marabá Paulista;SP;SUDESTE;jan/18;0
3528809;Maracaí;SP;SUDESTE;jan/18;0
3528858;Marapoama;SP;SUDESTE;jan/18;0
3528908;Mariápolis;SP;SUDESTE;jan/18;0
3529005;Marília;SP;SUDESTE;jan/18;2
3529104;Marinópolis;SP;SUDESTE;jan/18;0
3529203;Martinópolis;SP;SUDESTE;jan/18;0
3529302;Matão;SP;SUDESTE;jan/18;0
3529401;Mauá;SP;SUDESTE;jan/18;5
3529500;Mendonça;SP;SUDESTE;jan/18;0
3529609;Meridiano;SP;SUDESTE;jan/18;0
3529658;Mesópolis;SP;SUDESTE;jan/18;0
3529708;Miguelópolis;SP;SUDESTE;jan/18;0
3529807;Mineiros Do Tietê;SP;SUDESTE;jan/18;0
3529906;Miracatu;SP;SUDESTE;jan/18;0
3530003;Mira Estrela;SP;SUDESTE;jan/18;1
3530102;Mirandópolis;SP;SUDESTE;jan/18;0
3530201;Mirante Do Paranapanema;SP;SUDESTE;jan/18;0
3530300;Mirassol;SP;SUDESTE;jan/18;0
3530409;Mirassolândia;SP;SUDESTE;jan/18;0
3530508;Mococa;SP;SUDESTE;jan/18;0
3530607;Mogi Das Cruzes;SP;SUDESTE;jan/18;2
3530706;Mogi Guaçu;SP;SUDESTE;jan/18;1
3530805;Mogi Mirim;SP;SUDESTE;jan/18;0
3530904;Mombuca;SP;SUDESTE;jan/18;0
3531001;Monções;SP;SUDESTE;jan/18;0
3531100;Mongaguá;SP;SUDESTE;jan/18;2
3531209;Monte Alegre Do Sul;SP;SUDESTE;jan/18;0
3531308;Monte Alto;SP;SUDESTE;jan/18;0
3531407;Monte Aprazível;SP;SUDESTE;jan/18;0
3531506;Monte Azul Paulista;SP;SUDESTE;jan/18;0
3531605;Monte Castelo;SP;SUDESTE;jan/18;0
3531704;Monteiro Lobato;SP;SUDESTE;jan/18;0
3531803;Monte Mor;SP;SUDESTE;jan/18;1
3531902;Morro Agudo;SP;SUDESTE;jan/18;0
3532009;Morungaba;SP;SUDESTE;jan/18;0
3532058;Motuca;SP;SUDESTE;jan/18;0
3532108;Murutinga Do Sul;SP;SUDESTE;jan/18;0
3532157;Nantes;SP;SUDESTE;jan/18;0
3532207;Narandiba;SP;SUDESTE;jan/18;0
3532306;Natividade Da Serra;SP;SUDESTE;jan/18;0
3532405;Nazaré Paulista;SP;SUDESTE;jan/18;0
3532504;Neves Paulista;SP;SUDESTE;jan/18;0
3532603;Nhandeara;SP;SUDESTE;jan/18;0
3532702;Nipoã;SP;SUDESTE;jan/18;0
3532801;Nova Aliança;SP;SUDESTE;jan/18;0
3532827;Nova Campina;SP;SUDESTE;jan/18;0
3532843;Nova Canaã Paulista;SP;SUDESTE;jan/18;0
3532868;Nova Castilho;SP;SUDESTE;jan/18;0
3532900;Nova Europa;SP;SUDESTE;jan/18;0
3533007;Nova Granada;SP;SUDESTE;jan/18;0
3533106;Nova Guataporanga;SP;SUDESTE;jan/18;0
3533205;Nova Independência;SP;SUDESTE;jan/18;0
3533254;Novais;SP;SUDESTE;jan/18;0
3533304;Nova Luzitânia;SP;SUDESTE;jan/18;0
3533403;Nova Odessa;SP;SUDESTE;jan/18;0
3533502;Novo Horizonte;SP;SUDESTE;jan/18;0
3533601;Nuporanga;SP;SUDESTE;jan/18;0
3533700;Ocauçu;SP;SUDESTE;jan/18;0
3533809;Óleo;SP;SUDESTE;jan/18;0
3533908;Olímpia;SP;SUDESTE;jan/18;1
3534005;Onda Verde;SP;SUDESTE;jan/18;0
3534104;Oriente;SP;SUDESTE;jan/18;0
3534203;Orindiúva;SP;SUDESTE;jan/18;0
3534302;Orlândia;SP;SUDESTE;jan/18;0
3534401;Osasco;SP;SUDESTE;jan/18;5
3534500;Oscar Bressane;SP;SUDESTE;jan/18;0
3534609;Osvaldo Cruz;SP;SUDESTE;jan/18;0
3534708;Ourinhos;SP;SUDESTE;jan/18;0
3534757;Ouroeste;SP;SUDESTE;jan/18;0
3534807;Ouro Verde;SP;SUDESTE;jan/18;0
3534906;Pacaembu;SP;SUDESTE;jan/18;0
3535002;Palestina;SP;SUDESTE;jan/18;0
3535101;Palmares Paulista;SP;SUDESTE;jan/18;0
3535200;Palmeira D'Oeste;SP;SUDESTE;jan/18;0
3535309;Palmital;SP;SUDESTE;jan/18;0
3535408;Panorama;SP;SUDESTE;jan/18;0
3535507;Paraguaçu Paulista;SP;SUDESTE;jan/18;1
3535606;Paraibuna;SP;SUDESTE;jan/18;0
3535705;Paraíso;SP;SUDESTE;jan/18;0
3535804;Paranapanema;SP;SUDESTE;jan/18;0
3535903;Paranapuã;SP;SUDESTE;jan/18;0
3536000;Parapuã;SP;SUDESTE;jan/18;0
3536109;Pardinho;SP;SUDESTE;jan/18;0
3536208;Pariquera-Açu;SP;SUDESTE;jan/18;0
3536257;Parisi;SP;SUDESTE;jan/18;0
3536307;Patrocínio Paulista;SP;SUDESTE;jan/18;0
3536406;Paulicéia;SP;SUDESTE;jan/18;0
3536505;Paulínia;SP;SUDESTE;jan/18;0
3536570;Paulistânia;SP;SUDESTE;jan/18;0
3536604;Paulo De Faria;SP;SUDESTE;jan/18;0
3536703;Pederneiras;SP;SUDESTE;jan/18;0
3536802;Pedra Bela;SP;SUDESTE;jan/18;0
3536901;Pedranópolis;SP;SUDESTE;jan/18;0
3537008;Pedregulho;SP;SUDESTE;jan/18;0
3537107;Pedreira;SP;SUDESTE;jan/18;0
3537156;Pedrinhas Paulista;SP;SUDESTE;jan/18;0
3537206;Pedro De Toledo;SP;SUDESTE;jan/18;0
3537305;Penápolis;SP;SUDESTE;jan/18;0
3537404;Pereira Barreto;SP;SUDESTE;jan/18;1
3537503;Pereiras;SP;SUDESTE;jan/18;0
3537602;Peruíbe;SP;SUDESTE;jan/18;0
3537701;Piacatu;SP;SUDESTE;jan/18;0
3537800;Piedade;SP;SUDESTE;jan/18;0
3537909;Pilar Do Sul;SP;SUDESTE;jan/18;0
